question1,question2
gratitude to curiosity: What is to say in a thank you speech for getting best woman entrepreneur award?,"What is the best way for a straight man to react when a woman says to him, ""I thought you were gay""?"
curiosity to joy: What app must have this week to make me more happy?,What app must have this week to make me more happy?
anger to curiosity: What makes one angry?,What makes one angry?
curiosity to admiration: How can plan a trip for 3 and half days to Goa so as to explore the best of it?,How can plan a trip for 3 and half days to Goa so as to explore the best of it?
curiosity to confusion: How do you recover your Gmail password?,How do you recover your Gmail password?
curiosity to confusion: I have a Tata Photon Plus dongle for the internet connection. Am I the only one suffering from the internet speed going very slow or is this a general problem?,I have a Tata Photon Plus dongle for the internet connection. Am I the only one suffering from the internet speed going very slow or is this a general problem?
curiosity to confusion: How can one earn money online without investment?,How can one earn money online without investment?
confusion to curiosity: Why do I get bored with things so quickly and easily?,How come i get bored so easily?
anger to curiosity: Why do I hate girls especially when they like me?,Why do I hate girls especially when they like me?
confusion to curiosity: Should I switch to product design from mechanical engineering?,What is your review of Mechanical Engineering?
curiosity to confusion: Which is the best open library in Bhopal for a gate aspirant?,Which is the best open library in Bhopal for a gate aspirant?
confusion to curiosity: Why do I always become bored in relationships?,Why do relationships become boring after a while?
confusion to anger: Am I dumb if I never have to think much?,Am I dumb? 
remorse to curiosity: What is the biggest regret you will have in the future?,What is the biggest regret you will have in the future?
anger to curiosity: What are the most annoying questions that you feel ridiculous in Quora?,What are the most annoying questions that you feel ridiculous in Quora?
"admiration to curiosity: What is it like to be beautiful? Not just pretty or hot, but the kind of almost objective beauty that people are sometimes intimidated by?",Anyway product really helps in hair growth?
"desire to curiosity: If one of your wish could become reality,what would you wish for ?",If you could have one wish what would it be?
curiosity to admiration: Is Lî Zhì Xù a good Chinese name?,Is Lî Zhì Xù a good Chinese name?
love to curiosity: How could we know that we are falling in love?,How do you know if you are in love with your crush?
curiosity to anger: How do you add desktop shortcuts in Ubuntu?,What is shutdown shortcut keys for Ubuntu 15.0.4?
curiosity to admiration: What makes us good human?,What makes us good human?
confusion to curiosity: Should I do a MBA or a PHD after a degree in engineering?,What are the PhD options in US after MBA?
"confusion to curiosity: I am trying to implement FragmentPagerAdapter with dynamic number of Pages. However, I am getting empty screen in my app. How should I proceed?",Job profile of electronics engineer in Indian Inspection Service (Directorate General of Supply and Disposals)?
curiosity to confusion: How should non-believers explain they don't believe to family members?,How should non-believers explain they don't believe to family members?
"admiration to curiosity: Is it smart to major in International Relations & European Studies with courses on Economics, Quantitive Methods, IT Skills and Chinese?",What's the point of using quantitative method in international relations? Is it really applicable?
curiosity to amusement: What is the monthly salary of chief minister of Delhi Arvind Kejriwal?,What is the monthly salary of chief minister of Delhi Arvind Kejriwal?
confusion to curiosity: How do I reduce being absent minded?,How can I stop being absent minded?
"confusion to curiosity: What is the meaning of this sentence: ''That that is, is. That that is not, is not. Is that it? It is.''?",What does this sentence exactly mean?
curiosity to anger: Why do we feel anger?,Why cant I feel anger?
curiosity to confusion: Who is the speaker of Rajya Sabha?,Who is the speaker of Rajya Sabha?
confusion to curiosity: How do I stop being a pushover in the workplace?,How do I stop being a pushover?
admiration to curiosity: What are the greatest examples of smartest presence of mind?,What is the example of Presence of Mind?
curiosity to surprise: How do you calculate the percentage change between 2 percentages?,What's a statistic that many people would be surprised by?
